Species,Longitude,Latitude
Alternanthera philoxeroides,-90.116234,29.784258
Alternanthera philoxeroides,-96.715285,32.85878
Alternanthera philoxeroides,-97.198728,32.788416
Alternanthera philoxeroides,-97.101967,32.587256
Alternanthera philoxeroides,121.537222,25.013333
Alternanthera philoxeroides,121.185278,25.059167
Alternanthera philoxeroides,120.702222,24.490278
Alternanthera philoxeroides,-97.770077,30.463873
Alternanthera philoxeroides,-97.695778,30.246514
Alternanthera philoxeroides,-57.48,-28.75
Alternanthera philoxeroides,-60.13,-31.02
Alternanthera philoxeroides,-60.68,-36.81
Alternanthera philoxeroides,-59.5,-33.92
Alternanthera philoxeroides,-56.95,-36.65
Alternanthera philoxeroides,-59.8,-33.78
Alternanthera philoxeroides,-58.54,-34.42
Alternanthera philoxeroides,-57.92,-35.67
Alternanthera philoxeroides,-61.07,-32.13
Alternanthera philoxeroides,-61.13,-31.27
Alternanthera philoxeroides,-59.47,-28.61
Alternanthera philoxeroides,112.833333,24.983333
Alternanthera philoxeroides,4.0006,39.9688
Alternanthera philoxeroides,-57.47,-25.63
Alternanthera philoxeroides,-58.18,-31.35
Alternanthera philoxeroides,-57.87,-29.04
Alternanthera philoxeroides,-58.97,-27.19
Alternanthera philoxeroides,-58.98,-33.65
Alternanthera philoxeroides,109.73305,24.4975
Alternanthera philoxeroides,112.57416,26.89805
Alternanthera philoxeroides,-83.15,29.6
Alternanthera philoxeroides,174.440688,-36.65763
Alternanthera philoxeroides,121.559835,23.859341
Alternanthera philoxeroides,-81.61079,28.542342
Alternanthera philoxeroides,-90.790939,29.549569
Alternanthera philoxeroides,-89.317863,31.321913
Alternanthera philoxeroides,-92.359895,34.743917
Alternanthera philoxeroides,-80.055199,26.883631
Alternanthera philoxeroides,-77.676346,34.380032
Alternanthera philoxeroides,121.809802,24.724609
Alternanthera philoxeroides,-93.388073,30.223346
Alternanthera philoxeroides,75.270539,19.538105
Alternanthera philoxeroides,-92.333237,34.75003
Alternanthera philoxeroides,-96.705117,32.704013
Alternanthera philoxeroides,-76.040192,36.58607
Alternanthera philoxeroides,-81.3103,28.64423
Alternanthera philoxeroides,-96.413579,32.88363
Alternanthera philoxeroides,-78.968614,35.968336
Alternanthera philoxeroides,-81.608855,28.693178
Alternanthera philoxeroides,-97.417908,32.764367
Alternanthera philoxeroides,-95.3842,29.778805
Alternanthera philoxeroides,-84.549818,30.001909
Alternanthera philoxeroides,-77.048412,38.776977
Alternanthera philoxeroides,-81.696523,28.8797
Alternanthera philoxeroides,-77.417405,36.143846
Alternanthera philoxeroides,-97.169761,32.876718
Alternanthera philoxeroides,-95.850048,32.536863
Alternanthera philoxeroides,-79.100917,33.520503
Alternanthera philoxeroides,-94.728399,31.37515
Alternanthera philoxeroides,-82.368355,29.634443
Alternanthera philoxeroides,-97.151904,33.214521
Alternanthera philoxeroides,-95.484741,32.295589
Alternanthera philoxeroides,120.224062,22.972047
Alternanthera philoxeroides,-81.442464,30.650335
Alternanthera philoxeroides,-91.929839,30.101472
Alternanthera philoxeroides,-95.146156,29.900199
Alternanthera philoxeroides,-87.256363,32.697545
Alternanthera philoxeroides,-80.274637,26.010697
Alternanthera philoxeroides,-86.256966,35.875509
Alternanthera philoxeroides,-90.913416,30.345421
Alternanthera philoxeroides,-84.661513,30.800537
Alternanthera philoxeroides,-90.121907,29.7387
Alternanthera philoxeroides,-82.354717,34.776617
Alternanthera philoxeroides,-91.090819,30.536117
Alternanthera philoxeroides,-97.676223,30.515025
Alternanthera philoxeroides,174.68942,-36.930199
Alternanthera philoxeroides,-84.487975,30.465398
Alternanthera philoxeroides,-90.454333,30.164418
Alternanthera philoxeroides,-89.738026,31.883687
Alternanthera philoxeroides,-96.368125,30.56483
Alternanthera philoxeroides,-97.305022,31.609445
Alternanthera philoxeroides,-93.950004,29.699511
Alternanthera philoxeroides,-81.230394,28.580815
Alternanthera philoxeroides,-85.176292,35.110594
Alternanthera philoxeroides,-94.344497,35.29092
Alternanthera philoxeroides,-96.823288,32.780012
Alternanthera philoxeroides,-89.6773,30.241487
Alternanthera philoxeroides,-58.124824,-34.845534
Alternanthera philoxeroides,-95.914963,29.896288
Alternanthera philoxeroides,-77.880989,34.22266
Alternanthera philoxeroides,-92.382888,34.800453
Alternanthera philoxeroides,-95.889934,30.189388
Alternanthera philoxeroides,-97.627178,30.539304
Alternanthera philoxeroides,-96.644954,33.087137
